25 (4686) 
21 (4211) 
44 (4508) 
56 (5007) 
9 (4713) 
7 (5062) 
5 (4828) 
3 (4703) 
58 (5181) 
48 (4938) 
29 (5167) 
42 (4165) 
60 (5135) 
34 (4983) 
62 (5003) 
52 (5171) 
74 (4393) 
40 (5113) 
36 (5085) 
31 (4145) 
66 (4749) 
27 (4191) 
62 7 (4883) 
44 5 (4228) 
3 5 (4374) 
60 7 (5017) 
3 36 (4610) 
66 62 (4620) 
34 5 (4746) 
56 52 (5002) 
56 74 (4326) 
25 62 (4521) 
60 44 (4461) 
25 34 (4495) 
60 52 (5124) 
29 62 (4988) 
36 7 (4965) 
36 21 (4157) 
42 52 (4159) 
25 29 (4674) 
48 25 (4514) 
9 25 (4222) 
74 34 (4233) 
3 60 (4669) 
36 62 (4906) 
56 7 (4905) 
58 3 (4703) 
48 66 (4540) 
56 3 (4568) 
27 60 (4156) 
66 60 (4749) 
60 21 (4168) 
40 66 (4725) 
74 52 (4382) 
25 36 (4620) 
74 29 (4378) 
9 29 (4705) 
40 25 (4617) 
5 7 (4716) 
48 34 (4739) 
3 52 (4694) 
34 60 (4938) 
40 44 (4439) 
52 36 (5074) 
48 44 (4274) 
48 58 (4937) 
74 62 (4284) 
56 34 (4827) 
66 29 (4741) 
9 66 (4296) 
48 29 (4923) 
40 58 (5112) 
74 7 (4307) 
40 29 (5098) 
52 62 (4992) 
40 9 (4648) 
9 5 (4393) 
40 3 (4634) 
5 29 (4821) 
25 58 (4685) 
48 36 (4912) 
56 66 (4574) 
48 52 (4927) 
44 29 (4493) 
66 36 (4652) 
58 31 (4145) 
21 7 (4149) 
9 52 (4705) 
58 60 (5134) 
48 7 (4818) 
40 60 (5067) 
40 62 (4988) 
25 5 (4346) 
9 36 (4616) 
44 62 (4375) 
36 29 (5070) 
48 74 (4159) 
25 66 (4283) 
34 62 (4813) 
56 58 (5006) 
66 5 (4560) 
34 7 (4873) 
58 21 (4210) 
42 29 (4153) 
52 7 (5051) 
21 29 (4196) 
9 60 (4674) 
40 36 (5016) 
60 29 (5122) 
66 52 (4738) 
34 3 (4527) 
58 5 (4827) 
56 62 (4866) 
25 52 (4676) 
60 36 (5038) 
40 56 (4939) 
58 36 (5084) 
56 36 (4910) 
60 62 (4957) 
52 29 (5156) 
34 44 (4333) 
52 21 (4201) 
34 36 (4886) 
40 7 (4993) 
25 7 (4569) 
48 60 (4911) 
52 5 (4817) 
74 60 (4346) 
56 9 (4591) 
56 5 (4660) 
58 27 (4190) 
66 58 (4748) 
27 52 (4180) 
48 5 (4584) 
40 74 (4324) 
29 7 (5055) 
9 7 (4594) 
34 29 (4979) 
9 34 (4549) 
3 7 (4629) 
34 58 (4982) 
56 60 (4960) 
3 62 (4545) 
58 44 (4507) 
58 52 (5170) 
48 62 (4759) 
66 7 (4634) 
58 29 (5166) 
40 48 (4869) 
27 36 (4145) 
74 58 (4392) 
9 3 (4288) 
40 5 (4807) 
3 29 (4703) 
60 5 (4781) 
74 36 (4304) 
25 60 (4658) 
44 7 (4396) 
66 34 (4614) 
5 62 (4716) 
40 34 (4917) 
58 62 (5003) 
42 58 (4164) 
56 25 (4523) 
40 52 (5102) 
9 62 (4546) 
44 36 (4421) 
58 7 (5061) 
56 44 (4367) 
27 29 (4184) 
36 5 (4731) 
25 3 (4224) 
56 29 (4992) 
52 44 (4497) 
48 9 (4469) 
48 3 (4536) 
34 52 (4974) 
66 3 (4309) 
48 56 (4763) 
9 58 (4712) 
66 36 29 (4644) 
9 52 25 (4215) 
40 25 62 (4506) 
25 66 7 (4168) 
40 74 36 (4235) 
9 29 25 (4216) 
66 34 62 (4494) 
40 25 34 (4429) 
34 3 58 (4527) 
25 60 5 (4318) 
48 3 52 (4527) 
40 44 5 (4207) 
74 58 62 (4284) 
44 58 36 (4420) 
48 66 3 (4169) 
56 25 5 (4190) 
40 58 44 (4438) 
56 58 29 (4991) 
48 34 5 (4502) 
9 34 62 (4390) 
44 29 7 (4389) 
52 5 7 (4705) 
56 34 44 (4207) 
66 29 62 (4612) 
40 52 5 (4796) 
44 29 62 (4360) 
34 3 5 (4307) 
3 36 29 (4610) 
34 3 60 (4493) 
66 3 34 (4190) 
9 66 7 (4182) 
56 34 7 (4733) 
74 62 7 (4198) 
48 5 62 (4472) 
56 34 3 (4409) 
56 60 29 (4947) 
40 44 7 (4327) 
40 58 3 (4634) 
25 58 29 (4673) 
40 60 36 (4970) 
25 3 36 (4162) 
3 62 7 (4471) 
9 36 7 (4497) 
40 58 29 (5097) 
56 66 3 (4174) 
60 58 52 (5123) 
25 5 7 (4237) 
25 66 34 (4153) 
56 52 44 (4362) 
66 60 7 (4634) 
9 52 60 (4666) 
66 34 29 (4610) 
48 9 34 (4305) 
52 44 60 (4450) 
3 52 62 (4536) 
56 9 52 (4586) 
66 52 5 (4549) 
25 29 7 (4563) 
52 44 5 (4217) 
40 66 52 (4714) 
56 5 62 (4579) 
56 3 5 (4246) 
56 58 3 (4568) 
60 52 7 (5006) 
48 66 29 (4532) 
48 56 58 (4762) 
52 5 62 (4705) 
34 36 7 (4776) 
60 3 52 (4660) 
48 60 44 (4247) 
56 25 58 (4522) 
56 52 7 (4900) 
56 9 66 (4174) 
34 36 5 (4649) 
3 36 7 (4536) 
25 58 3 (4224) 
56 34 58 (4826) 
9 29 62 (4538) 
52 36 5 (4720) 
56 9 34 (4433) 
60 34 44 (4288) 
56 74 7 (4258) 
25 58 62 (4521) 
48 56 7 (4661) 
9 58 36 (4615) 
48 56 66 (4365) 
9 3 29 (4288) 
40 9 5 (4376) 
74 34 29 (4229) 
40 48 58 (4868) 
60 52 62 (4946) 
40 9 48 (4404) 
40 9 60 (4609) 
66 60 58 (4748) 
40 52 7 (4982) 
40 74 62 (4269) 
60 34 52 (4929) 
48 52 36 (4901) 
40 66 5 (4540) 
48 56 60 (4736) 
9 36 62 (4449) 
48 36 29 (4897) 
60 5 7 (4671) 
48 58 36 (4911) 
52 44 29 (4482) 
48 58 29 (4922) 
66 60 62 (4620) 
48 3 36 (4510) 
56 34 60 (4782) 
66 36 7 (4537) 
40 48 60 (4843) 
48 25 52 (4504) 
58 52 7 (5050) 
56 66 62 (4483) 
58 5 62 (4716) 
40 60 7 (4949) 
40 36 62 (4891) 
9 58 60 (4673) 
25 66 29 (4275) 
9 60 5 (4354) 
44 36 60 (4374) 
48 25 58 (4513) 
34 29 7 (4871) 
44 36 62 (4288) 
56 34 62 (4691) 
25 36 7 (4503) 
25 36 62 (4455) 
56 58 36 (4909) 
40 66 29 (4717) 
66 58 7 (4633) 
34 44 58 (4332) 
40 60 44 (4393) 
40 3 7 (4560) 
36 29 62 (4891) 
52 36 60 (5027) 
48 56 52 (4758) 
34 52 62 (4804) 
40 74 29 (4309) 
56 25 52 (4519) 
56 36 62 (4769) 
48 66 62 (4411) 
34 3 52 (4520) 
58 3 36 (4610) 
56 36 7 (4808) 
56 3 36 (4475) 
60 36 62 (4860) 
40 29 7 (4986) 
74 36 29 (4289) 
9 60 25 (4199) 
40 52 44 (4428) 
40 25 3 (4155) 
34 58 5 (4745) 
74 60 7 (4262) 
66 58 62 (4620) 
3 5 62 (4281) 
60 29 62 (4944) 
48 44 36 (4250) 
48 66 5 (4351) 
48 66 34 (4405) 
66 5 7 (4451) 
34 62 7 (4703) 
9 52 5 (4385) 
9 58 5 (4392) 
40 34 7 (4807) 
58 60 62 (4957) 
40 3 29 (4634) 
9 5 29 (4389) 
9 66 52 (4288) 
40 3 36 (4541) 
36 5 29 (4724) 
25 34 60 (4467) 
58 52 62 (4992) 
56 3 60 (4534) 
40 66 36 (4628) 
25 34 62 (4338) 
48 52 29 (4912) 
40 48 62 (4744) 
48 36 62 (4733) 
66 3 60 (4309) 
48 9 62 (4302) 
56 66 7 (4477) 
34 60 29 (4934) 
9 5 7 (4282) 
48 34 58 (4738) 
9 3 36 (4195) 
25 60 62 (4494) 
25 34 58 (4494) 
60 3 36 (4576) 
40 25 56 (4455) 
56 25 36 (4457) 
58 36 7 (4964) 
58 27 52 (4179) 
40 25 60 (4590) 
9 58 25 (4221) 
74 36 58 (4303) 
9 29 7 (4594) 
34 44 62 (4201) 
40 9 58 (4647) 
42 52 58 (4158) 
56 34 52 (4822) 
25 3 52 (4216) 
66 3 36 (4216) 
48 56 3 (4401) 
40 34 3 (4461) 
36 62 7 (4786) 
5 62 29 (4709) 
74 58 34 (4232) 
48 34 29 (4735) 
48 52 44 (4263) 
40 56 3 (4500) 
56 74 52 (4321) 
34 5 29 (4742) 
25 58 5 (4345) 
40 25 48 (4445) 
40 56 7 (4837) 
60 21 29 (4155) 
56 9 3 (4188) 
40 56 5 (4640) 
56 52 62 (4861) 
40 9 56 (4526) 
25 58 52 (4675) 
40 34 62 (4801) 
34 58 62 (4813) 
40 62 7 (4868) 
52 58 44 (4496) 
40 25 7 (4500) 
9 34 29 (4547) 
56 60 5 (4613) 
56 58 44 (4366) 
9 34 36 (4452) 
25 34 7 (4386) 
34 36 58 (4885) 
40 52 29 (5087) 
3 52 5 (4365) 
58 21 29 (4195) 
58 44 5 (4227) 
48 34 60 (4714) 
66 3 7 (4236) 
40 25 52 (4607) 
52 44 7 (4385) 
74 60 34 (4188) 
9 66 62 (4178) 
56 44 7 (4271) 
34 60 62 (4769) 
48 52 62 (4748) 
48 25 56 (4351) 
60 52 21 (4158) 
74 60 62 (4238) 
48 9 5 (4149) 
56 25 7 (4424) 
44 5 29 (4221) 
58 62 7 (4883) 
58 36 62 (4906) 
48 56 29 (4748) 
40 25 66 (4259) 
52 34 36 (4877) 
48 5 7 (4472) 
56 44 36 (4280) 
56 3 62 (4448) 
40 9 36 (4551) 
40 48 7 (4749) 
74 58 7 (4306) 
44 36 52 (4410) 
74 52 62 (4273) 
58 52 5 (4816) 
56 66 36 (4477) 
66 34 5 (4481) 
40 66 60 (4725) 
56 5 29 (4653) 
48 62 7 (4639) 
48 3 62 (4378) 
48 25 36 (4495) 
42 58 29 (4152) 
25 52 62 (4511) 
60 36 7 (4920) 
60 5 29 (4776) 
25 60 7 (4541) 
25 34 36 (4429) 
9 34 7 (4440) 
56 3 7 (4494) 
48 9 36 (4443) 
34 3 62 (4378) 
56 44 62 (4258) 
48 34 62 (4569) 
25 52 29 (4664) 
40 56 74 (4258) 
56 29 62 (4851) 
3 36 5 (4281) 
60 44 62 (4329) 
60 74 36 (4257) 
48 60 5 (4557) 
58 27 29 (4183) 
74 60 29 (4333) 
9 36 25 (4156) 
9 3 7 (4215) 
40 34 36 (4820) 
66 52 58 (4737) 
48 9 58 (4468) 
60 62 7 (4839) 
56 25 34 (4351) 
40 48 56 (4695) 
74 34 7 (4157) 
34 29 62 (4809) 
40 34 52 (4908) 
56 62 7 (4764) 
3 5 29 (4374) 
9 58 3 (4288) 
56 58 52 (5001) 
9 36 29 (4608) 
25 34 5 (4267) 
48 25 34 (4323) 
48 58 62 (4759) 
25 66 60 (4283) 
3 5 7 (4303) 
66 3 62 (4197) 
56 58 7 (4904) 
58 5 29 (4820) 
44 62 7 (4263) 
40 9 3 (4223) 
48 60 7 (4793) 
9 36 5 (4296) 
56 44 29 (4352) 
48 66 60 (4540) 
74 58 29 (4377) 
3 36 62 (4452) 
58 29 62 (4988) 
40 58 52 (5101) 
60 44 29 (4448) 
52 58 36 (5073) 
40 5 7 (4695) 
25 66 58 (4282) 
40 66 3 (4285) 
40 56 60 (4893) 
40 58 5 (4806) 
25 58 7 (4568) 
5 29 7 (4713) 
34 60 58 (4937) 
25 66 52 (4273) 
48 60 36 (4885) 
48 58 7 (4817) 
27 60 29 (4151) 
60 36 5 (4684) 
60 66 52 (4738) 
58 27 60 (4155) 
48 29 7 (4811) 
40 9 62 (4534) 
34 36 62 (4716) 
66 36 5 (4463) 
60 52 5 (4770) 
25 52 60 (4648) 
56 3 52 (4564) 
56 66 52 (4569) 
48 44 7 (4162) 
40 3 52 (4625) 
36 29 7 (4958) 
9 3 60 (4262) 
40 60 5 (4761) 
48 58 3 (4536) 
58 60 5 (4780) 
5 62 7 (4604) 
74 29 7 (4300) 
34 5 62 (4635) 
40 34 44 (4267) 
56 58 5 (4659) 
9 58 62 (4546) 
40 56 36 (4842) 
25 29 62 (4509) 
48 9 60 (4450) 
58 44 62 (4375) 
52 21 29 (4186) 
40 9 34 (4486) 
56 66 60 (4574) 
34 58 7 (4872) 
9 34 5 (4332) 
52 36 7 (4954) 
56 66 34 (4458) 
48 25 29 (4502) 
25 58 36 (4619) 
29 62 7 (4876) 
58 3 5 (4374) 
66 36 58 (4651) 
60 44 7 (4351) 
66 60 34 (4614) 
66 3 29 (4309) 
56 9 60 (4552) 
40 56 58 (4938) 
48 58 5 (4583) 
25 62 7 (4404) 
48 25 62 (4349) 
66 3 52 (4300) 
48 9 29 (4461) 
34 36 29 (4882) 
34 5 7 (4640) 
48 74 52 (4148) 
34 52 29 (4970) 
48 58 52 (4926) 
60 52 29 (5111) 
66 58 34 (4613) 
34 52 7 (4864) 
40 56 66 (4551) 
48 3 7 (4462) 
66 52 34 (4605) 
40 25 36 (4551) 
52 3 36 (4601) 
60 34 36 (4841) 
44 36 7 (4309) 
9 62 7 (4427) 
25 3 60 (4198) 
60 27 52 (4145) 
66 52 62 (4609) 
40 56 34 (4761) 
66 60 29 (4741) 
58 60 21 (4167) 
66 5 62 (4453) 
58 44 29 (4492) 
40 48 44 (4205) 
56 34 36 (4730) 
9 34 52 (4541) 
3 52 7 (4620) 
66 34 7 (4505) 
58 3 7 (4629) 
56 66 29 (4566) 
34 52 5 (4737) 
40 36 29 (5001) 
25 66 62 (4168) 
42 52 29 (4147) 
40 9 29 (4640) 
40 44 62 (4360) 
48 74 58 (4158) 
58 60 29 (5121) 
44 36 29 (4406) 
40 3 60 (4601) 
48 56 36 (4737) 
74 29 62 (4269) 
40 74 52 (4313) 
56 34 29 (4823) 
40 48 66 (4516) 
58 44 7 (4395) 
40 44 29 (4424) 
52 44 62 (4364) 
56 60 7 (4860) 
40 25 58 (4616) 
40 36 7 (4896) 
40 9 25 (4157) 
58 3 52 (4694) 
48 36 7 (4792) 
3 60 7 (4595) 
52 34 44 (4324) 
40 74 7 (4238) 
9 58 29 (4704) 
56 66 5 (4392) 
56 52 36 (4905) 
60 5 62 (4670) 
40 60 52 (5056) 
9 60 62 (4507) 
56 36 29 (4895) 
34 52 58 (4973) 
56 60 36 (4863) 
40 56 52 (4934) 
56 9 62 (4453) 
60 36 29 (5025) 
52 66 36 (4641) 
34 3 36 (4434) 
25 36 29 (4608) 
25 36 5 (4280) 
66 52 29 (4730) 
40 66 62 (4605) 
74 60 58 (4345) 
40 9 7 (4529) 
9 66 29 (4292) 
34 44 7 (4231) 
52 29 7 (5044) 
9 3 52 (4282) 
