40 (0.991864831039) 
36 (0.969649561952) 
64 (0.823216520651) 
58 (0.999687108886) 
44 (0.817271589487) 
48 (0.942740926158) 
34 (0.951188986233) 
29 (0.995306633292) 
3 (0.88829787234) 
56 (0.945244055069) 
5 (0.929599499374) 
62 (0.957446808511) 
7 (0.962453066333) 
52 (0.996558197747) 
60 (0.985294117647) 
25 (0.894868585732) 
66 (0.945244055069) 
42 (0.849186483104) 
9 (0.899249061327) 
60 66 (0.945244055069) 
29 52 (0.991864831039) 
5 48 (0.872340425532) 
44 29 (0.812578222778) 
44 52 (0.813829787234) 
60 36 (0.954943679599) 
62 36 (0.927096370463) 
60 7 (0.948372966208) 
25 7 (0.858260325407) 
42 58 (0.84887359199) 
9 29 (0.896745932416) 
9 40 (0.892365456821) 
56 42 (0.804130162703) 
62 40 (0.952753441802) 
5 66 (0.886107634543) 
60 58 (0.984981226533) 
3 36 (0.859198998748) 
58 29 (0.994993742178) 
5 36 (0.899249061327) 
3 7 (0.865143929912) 
9 3 (0.804443053817) 
42 36 (0.821652065081) 
56 58 (0.944931163955) 
36 40 (0.961514392991) 
3 56 (0.846057571965) 
64 52 (0.822903629537) 
3 58 (0.88829787234) 
62 34 (0.911451814768) 
9 34 (0.861389236546) 
9 56 (0.861076345432) 
56 7 (0.913329161452) 
29 66 (0.942740926158) 
56 34 (0.902377972466) 
9 7 (0.862015018773) 
64 40 (0.822903629537) 
25 56 (0.843867334168) 
62 66 (0.904881101377) 
42 48 (0.80225281602) 
29 7 (0.960262828536) 
3 40 (0.880162703379) 
25 5 (0.828848560701) 
44 58 (0.816958698373) 
36 48 (0.934605757196) 
60 52 (0.981852315394) 
62 42 (0.812891113892) 
60 5 (0.914893617021) 
25 29 (0.891113892365) 
60 42 (0.841051314143) 
5 34 (0.903942428035) 
56 5 (0.87703379224) 
9 58 (0.898936170213) 
62 58 (0.957446808511) 
3 34 (0.846683354193) 
9 48 (0.841989987484) 
60 25 (0.886107634543) 
66 52 (0.941802252816) 
42 40 (0.843867334168) 
5 42 (0.801627033792) 
62 52 (0.954005006258) 
60 44 (0.802565707134) 
9 36 (0.868898623279) 
60 34 (0.937108886108) 
56 52 (0.943679599499) 
60 29 (0.981226533166) 
56 36 (0.914893617021) 
3 29 (0.88829787234) 
29 34 (0.949937421777) 
42 34 (0.814142678348) 
36 58 (0.969336670839) 
5 29 (0.927409261577) 
25 58 (0.894555694618) 
56 29 (0.94055068836) 
48 66 (0.898936170213) 
29 40 (0.98717146433) 
25 40 (0.886733416771) 
56 48 (0.887984981227) 
62 5 (0.894555694618) 
9 5 (0.839486858573) 
60 40 (0.9774718398) 
7 48 (0.905193992491) 
36 66 (0.914893617021) 
25 36 (0.874217772215) 
7 34 (0.916770963705) 
62 56 (0.914580725907) 
25 52 (0.891739674593) 
44 40 (0.809136420526) 
36 52 (0.9662077597) 
25 66 (0.849499374218) 
58 48 (0.942428035044) 
56 66 (0.890488110138) 
36 7 (0.932102628285) 
66 34 (0.903003754693) 
60 62 (0.943053817272) 
60 9 (0.887046307885) 
9 66 (0.849499374218) 
25 62 (0.856695869837) 
5 40 (0.923028785982) 
62 29 (0.952753441802) 
34 52 (0.948372966208) 
48 52 (0.939299123905) 
7 40 (0.954317897372) 
58 52 (0.996245306633) 
3 66 (0.845744680851) 
5 52 (0.926157697121) 
60 3 (0.877659574468) 
25 48 (0.86013767209) 
9 52 (0.896745932416) 
40 34 (0.943992490613) 
62 3 (0.852315394243) 
3 5 (0.825719649562) 
42 52 (0.847309136421) 
40 66 (0.937734668335) 
60 64 (0.808510638298) 
42 29 (0.845431789737) 
3 48 (0.83604505632) 
36 29 (0.964956195244) 
62 7 (0.919899874844) 
3 52 (0.885481852315) 
9 62 (0.860450563204) 
58 40 (0.991551939925) 
7 52 (0.95901126408) 
40 48 (0.934605757196) 
25 34 (0.848560700876) 
7 66 (0.909261576971) 
36 34 (0.920838548185) 
60 56 (0.930538172716) 
5 58 (0.92928660826) 
60 48 (0.934292866083) 
58 7 (0.962140175219) 
58 66 (0.944931163955) 
64 58 (0.822903629537) 
42 7 (0.814455569462) 
29 48 (0.938047559449) 
48 34 (0.89392991239) 
64 29 (0.818523153942) 
58 34 (0.950876095119) 
56 40 (0.937421777222) 
5 7 (0.894555694618) 
62 48 (0.900187734668) 
40 52 (0.988423028786) 
42 66 (0.817271589487) 
36 66 52 (0.911451814768) 
58 40 34 (0.943679599499) 
56 40 66 (0.883291614518) 
56 29 34 (0.90112640801) 
62 56 52 (0.913016270338) 
42 58 7 (0.814142678348) 
58 40 7 (0.954005006258) 
62 29 34 (0.910200250313) 
42 40 34 (0.809762202753) 
25 5 34 (0.804130162703) 
36 7 52 (0.928660826033) 
56 58 48 (0.887672090113) 
25 62 52 (0.853566958698) 
3 40 52 (0.877346683354) 
62 3 34 (0.81351689612) 
60 3 66 (0.845744680851) 
25 48 66 (0.820087609512) 
36 40 7 (0.923967459324) 
3 56 7 (0.822903629537) 
34 42 52 (0.812578222778) 
5 58 48 (0.872027534418) 
62 5 7 (0.859511889862) 
9 5 7 (0.804755944931) 
58 66 36 (0.914580725907) 
5 29 66 (0.884856070088) 
56 5 34 (0.85607008761) 
60 5 7 (0.880475594493) 
56 36 48 (0.879849812265) 
34 48 52 (0.891113892365) 
42 29 66 (0.814768460576) 
62 56 40 (0.910200250313) 
25 7 48 (0.823529411765) 
56 48 66 (0.844180225282) 
42 36 40 (0.816332916145) 
64 58 40 (0.822590738423) 
9 62 66 (0.812578222778) 
5 48 52 (0.868898623279) 
60 3 58 (0.877659574468) 
9 7 48 (0.804755944931) 
3 56 40 (0.838235294118) 
25 66 52 (0.846370463079) 
9 40 48 (0.835106382979) 
36 66 34 (0.872653316646) 
60 56 66 (0.890488110138) 
62 56 34 (0.873279098874) 
5 58 7 (0.894242803504) 
25 29 34 (0.847309136421) 
62 29 52 (0.949311639549) 
9 62 58 (0.860450563204) 
56 5 7 (0.847622027534) 
62 56 3 (0.821964956195) 
25 29 48 (0.856382978723) 
60 29 48 (0.930225281602) 
42 7 52 (0.812578222778) 
3 56 34 (0.809762202753) 
25 58 52 (0.891426783479) 
3 56 36 (0.816958698373) 
62 5 36 (0.864205256571) 
9 5 36 (0.809136420526) 
58 66 7 (0.908948685857) 
3 5 7 (0.803504380476) 
62 36 34 (0.881101376721) 
5 29 48 (0.870150187735) 
25 36 52 (0.871088861076) 
5 29 58 (0.927096370463) 
60 3 5 (0.81508135169) 
3 7 34 (0.823529411765) 
56 5 48 (0.819774718398) 
60 9 52 (0.884543178974) 
3 58 36 (0.859198998748) 
5 29 40 (0.920838548185) 
60 56 36 (0.900187734668) 
42 48 52 (0.800375469337) 
60 25 62 (0.848247809762) 
64 29 58 (0.818210262829) 
29 66 58 (0.942428035044) 
5 36 66 (0.855757196496) 
25 48 52 (0.857008760951) 
60 48 66 (0.898936170213) 
3 56 66 (0.803504380476) 
60 62 48 (0.892052565707) 
60 9 48 (0.83604505632) 
25 58 34 (0.848247809762) 
3 34 52 (0.844493116395) 
5 58 40 (0.922715894869) 
25 56 34 (0.803504380476) 
56 40 48 (0.880162703379) 
25 62 7 (0.820087609512) 
5 7 40 (0.887984981227) 
3 7 66 (0.822903629537) 
25 5 58 (0.828535669587) 
9 7 52 (0.859511889862) 
9 62 7 (0.823216520651) 
25 36 34 (0.827909887359) 
60 7 52 (0.944931163955) 
60 58 40 (0.977158948686) 
62 36 52 (0.92365456821) 
25 7 52 (0.855131414268) 
62 36 66 (0.874530663329) 
60 36 34 (0.90675844806) 
3 29 40 (0.880162703379) 
60 7 66 (0.909261576971) 
9 7 40 (0.855131414268) 
60 36 48 (0.926157697121) 
60 44 58 (0.80225281602) 
25 56 40 (0.83604505632) 
60 5 36 (0.884543178974) 
42 29 34 (0.812891113892) 
3 36 52 (0.856382978723) 
56 7 48 (0.85607008761) 
60 58 34 (0.936795994994) 
3 66 34 (0.808510638298) 
25 62 48 (0.821964956195) 
56 40 34 (0.895181476846) 
5 36 48 (0.864205256571) 
25 56 48 (0.809136420526) 
5 42 58 (0.801314142678) 
62 7 40 (0.915206508135) 
3 48 52 (0.833229036295) 
60 5 48 (0.863892365457) 
3 58 52 (0.885481852315) 
60 62 34 (0.897684605757) 
60 29 52 (0.977784730914) 
34 40 52 (0.941176470588) 
58 66 40 (0.937421777222) 
5 58 36 (0.898936170213) 
56 7 66 (0.86013767209) 
60 66 34 (0.903003754693) 
60 56 29 (0.926470588235) 
60 40 48 (0.926470588235) 
62 42 40 (0.809762202753) 
56 36 52 (0.913329161452) 
62 40 52 (0.949311639549) 
25 40 34 (0.841364205257) 
62 42 52 (0.811013767209) 
60 25 48 (0.85450563204) 
3 7 52 (0.862327909887) 
5 29 34 (0.902690863579) 
62 66 34 (0.865456821026) 
3 36 66 (0.816645807259) 
9 58 36 (0.868585732165) 
62 58 36 (0.927096370463) 
9 66 34 (0.816645807259) 
60 3 56 (0.835419274093) 
42 29 36 (0.817897371715) 
58 66 48 (0.898623279099) 
34 56 52 (0.900813516896) 
34 36 52 (0.91802252816) 
42 40 66 (0.812265331665) 
3 40 34 (0.839486858573) 
3 58 34 (0.846683354193) 
62 29 66 (0.902377972466) 
60 29 34 (0.935857321652) 
5 40 52 (0.91958698373) 
60 9 29 (0.885168961202) 
9 36 66 (0.81914893617) 
60 25 7 (0.849499374218) 
3 29 52 (0.885481852315) 
62 42 29 (0.809136420526) 
3 29 66 (0.845744680851) 
9 29 40 (0.88986232791) 
60 3 36 (0.848560700876) 
62 40 34 (0.907697121402) 
60 58 7 (0.948060075094) 
60 5 58 (0.914580725907) 
62 7 66 (0.868898623279) 
25 36 66 (0.828848560701) 
60 9 7 (0.850438047559) 
58 48 52 (0.938986232791) 
60 25 29 (0.882352941176) 
56 29 52 (0.938986232791) 
62 29 36 (0.922403003755) 
9 5 58 (0.839173967459) 
3 36 48 (0.827909887359) 
36 66 7 (0.878911138924) 
25 56 29 (0.840112640801) 
42 58 36 (0.821339173967) 
9 62 48 (0.803191489362) 
56 58 34 (0.902065081352) 
60 29 58 (0.980913642053) 
3 36 7 (0.83604505632) 
9 29 58 (0.896433041302) 
62 29 58 (0.952753441802) 
60 56 48 (0.879536921151) 
62 48 66 (0.858573216521) 
60 9 58 (0.886733416771) 
7 48 52 (0.901752190238) 
9 62 40 (0.856695869837) 
60 42 29 (0.837922403004) 
60 5 34 (0.88986232791) 
56 5 52 (0.875469336671) 
62 34 52 (0.908635794743) 
56 7 52 (0.911764705882) 
62 42 58 (0.812891113892) 
3 48 66 (0.801939924906) 
29 66 36 (0.91239048811) 
25 56 7 (0.812891113892) 
25 7 66 (0.81351689612) 
42 58 66 (0.816958698373) 
60 9 36 (0.856695869837) 
9 29 66 (0.848247809762) 
5 48 34 (0.846683354193) 
58 66 34 (0.902690863579) 
25 58 40 (0.886420525657) 
42 7 40 (0.809136420526) 
58 48 34 (0.893617021277) 
62 58 3 (0.852315394243) 
3 7 48 (0.812891113892) 
5 66 52 (0.88266583229) 
56 42 52 (0.802565707134) 
58 40 52 (0.988110137672) 
9 36 40 (0.862015018773) 
60 3 29 (0.877659574468) 
29 48 52 (0.934605757196) 
60 42 7 (0.806946182728) 
60 25 58 (0.885794743429) 
56 58 52 (0.943366708385) 
60 64 58 (0.808197747184) 
3 56 52 (0.844806007509) 
3 7 40 (0.857008760951) 
25 29 66 (0.846996245307) 
9 7 66 (0.813829787234) 
25 58 48 (0.859824780976) 
60 25 36 (0.865456821026) 
25 29 36 (0.870463078849) 
29 66 7 (0.908010012516) 
56 7 34 (0.87296620776) 
25 56 36 (0.823216520651) 
42 29 58 (0.845118898623) 
62 56 7 (0.88266583229) 
9 5 40 (0.834167709637) 
29 40 58 (0.986858573217) 
9 56 5 (0.802878598248) 
62 56 5 (0.851689612015) 
60 58 36 (0.954630788486) 
44 29 52 (0.809136420526) 
5 36 7 (0.864205256571) 
25 62 40 (0.852002503129) 
58 29 52 (0.991551939925) 
3 58 40 (0.880162703379) 
3 40 48 (0.827909887359) 
9 58 66 (0.849186483104) 
60 42 36 (0.81351689612) 
29 40 36 (0.956821026283) 
3 56 29 (0.846057571965) 
25 48 34 (0.813829787234) 
62 36 48 (0.892052565707) 
60 62 58 (0.943053817272) 
58 36 52 (0.965894868586) 
5 7 66 (0.852002503129) 
60 62 56 (0.900187734668) 
64 40 52 (0.822590738423) 
62 56 29 (0.909887359199) 
9 7 34 (0.827284105131) 
9 56 66 (0.811326658323) 
25 56 52 (0.842615769712) 
64 58 52 (0.822590738423) 
62 58 48 (0.900187734668) 
5 58 34 (0.903629536921) 
9 62 56 (0.831351689612) 
25 62 36 (0.83604505632) 
29 48 40 (0.929912390488) 
25 58 66 (0.849186483104) 
36 48 52 (0.931163954944) 
62 5 34 (0.869211514393) 
44 58 52 (0.81351689612) 
58 29 36 (0.96464330413) 
62 3 7 (0.829161451815) 
48 66 36 (0.890801001252) 
56 5 29 (0.874843554443) 
25 29 7 (0.856382978723) 
60 7 48 (0.897371714643) 
58 66 52 (0.941489361702) 
42 29 52 (0.843554443054) 
34 5 52 (0.90112640801) 
34 58 29 (0.949624530663) 
9 56 52 (0.859511889862) 
62 5 40 (0.890488110138) 
5 36 40 (0.892678347935) 
42 58 34 (0.813829787234) 
9 36 7 (0.831664580726) 
60 25 66 (0.849499374218) 
56 5 40 (0.870775969962) 
25 62 56 (0.816332916145) 
9 62 52 (0.857947434293) 
9 29 34 (0.860763454318) 
25 62 66 (0.81351689612) 
60 62 52 (0.939612015019) 
58 40 36 (0.961201501877) 
3 56 58 (0.846057571965) 
5 7 48 (0.837296620776) 
62 66 52 (0.901439299124) 
9 66 52 (0.846996245307) 
62 3 48 (0.800062578223) 
62 3 52 (0.849499374218) 
40 66 34 (0.896433041302) 
60 62 40 (0.938360450563) 
60 3 52 (0.874843554443) 
9 3 52 (0.802565707134) 
62 56 58 (0.914580725907) 
9 56 58 (0.860763454318) 
60 62 42 (0.804755944931) 
25 5 29 (0.827596996245) 
60 56 58 (0.930225281602) 
