62 (3060.0) 
7 (3076.0) 
52 (3185.0) 
5 (2971.0) 
42 (2714.0) 
3 (2839.0) 
64 (2631.0) 
66 (3021.0) 
60 (3149.0) 
40 (3170.0) 
25 (2860.0) 
36 (3099.0) 
58 (3195.0) 
48 (3013.0) 
44 (2612.0) 
29 (3181.0) 
34 (3040.0) 
56 (3021.0) 
9 (2874.0) 
62 7 (2940.0) 
42 7 (2603.0) 
48 58 (3012.0) 
60 7 (3031.0) 
3 36 (2746.0) 
64 60 (2584.0) 
34 5 (2889.0) 
66 42 (2612.0) 
56 52 (3016.0) 
25 62 (2738.0) 
60 44 (2565.0) 
60 52 (3138.0) 
29 62 (3045.0) 
36 7 (2979.0) 
42 52 (2708.0) 
25 29 (2848.0) 
48 25 (2749.0) 
25 60 (2832.0) 
3 60 (2805.0) 
42 36 (2626.0) 
36 62 (2963.0) 
56 7 (2919.0) 
48 5 (2788.0) 
48 66 (2873.0) 
56 3 (2704.0) 
40 7 (3050.0) 
66 60 (3021.0) 
40 66 (2997.0) 
66 62 (2892.0) 
25 36 (2794.0) 
64 40 (2630.0) 
9 29 (2866.0) 
40 25 (2834.0) 
5 7 (2859.0) 
48 34 (2857.0) 
5 62 (2859.0) 
34 60 (2995.0) 
40 44 (2586.0) 
52 36 (3088.0) 
64 52 (2630.0) 
56 34 (2884.0) 
66 29 (3013.0) 
9 66 (2715.0) 
48 29 (2998.0) 
40 58 (3169.0) 
48 9 (2691.0) 
40 29 (3155.0) 
52 62 (3049.0) 
40 9 (2852.0) 
9 5 (2683.0) 
40 3 (2813.0) 
5 29 (2964.0) 
25 58 (2859.0) 
48 36 (2987.0) 
56 66 (2846.0) 
58 62 (3060.0) 
44 29 (2597.0) 
66 36 (2924.0) 
40 62 (3045.0) 
9 52 (2866.0) 
40 42 (2697.0) 
48 7 (2893.0) 
40 60 (3124.0) 
42 62 (2598.0) 
25 5 (2649.0) 
9 36 (2777.0) 
36 29 (3084.0) 
64 58 (2630.0) 
25 66 (2715.0) 
34 62 (2913.0) 
56 58 (3020.0) 
66 5 (2832.0) 
34 42 (2602.0) 
34 7 (2930.0) 
42 29 (2702.0) 
52 7 (3065.0) 
9 60 (2835.0) 
40 36 (3073.0) 
60 29 (3136.0) 
66 52 (3010.0) 
34 3 (2706.0) 
58 5 (2970.0) 
56 62 (2923.0) 
25 52 (2850.0) 
60 36 (3052.0) 
40 56 (2996.0) 
42 60 (2688.0) 
58 36 (3098.0) 
56 36 (2924.0) 
60 62 (3014.0) 
52 29 (3170.0) 
58 60 (3148.0) 
25 7 (2743.0) 
48 60 (2986.0) 
3 62 (2724.0) 
56 9 (2752.0) 
56 5 (2803.0) 
66 58 (3020.0) 
64 29 (2616.0) 
25 34 (2712.0) 
29 7 (3069.0) 
9 7 (2755.0) 
34 29 (3036.0) 
9 34 (2753.0) 
3 7 (2765.0) 
56 42 (2570.0) 
34 58 (3039.0) 
56 60 (2974.0) 
52 5 (2960.0) 
58 44 (2611.0) 
58 52 (3184.0) 
48 62 (2877.0) 
48 42 (2564.0) 
66 7 (2906.0) 
58 29 (3180.0) 
40 48 (2987.0) 
9 58 (2873.0) 
9 3 (2571.0) 
40 5 (2950.0) 
3 29 (2839.0) 
60 5 (2924.0) 
58 3 (2839.0) 
42 5 (2562.0) 
66 34 (2886.0) 
3 52 (2830.0) 
3 5 (2639.0) 
40 34 (3017.0) 
48 52 (3002.0) 
42 58 (2713.0) 
56 25 (2697.0) 
40 52 (3159.0) 
9 62 (2750.0) 
58 7 (3075.0) 
36 5 (2874.0) 
34 36 (2943.0) 
