62 (3060) 
7 (3076) 
52 (3185) 
5 (2971) 
42 (2714) 
3 (2839) 
64 (2631) 
66 (3021) 
60 (3149) 
40 (3170) 
25 (2860) 
46 (2556) 
36 (3099) 
58 (3195) 
48 (3013) 
44 (2612) 
29 (3181) 
34 (3040) 
56 (3021) 
9 (2874) 
62 7 (2940) 
42 7 (2603) 
48 58 (3012) 
60 7 (3031) 
3 36 (2746) 
64 60 (2584) 
34 5 (2889) 
66 42 (2612) 
56 52 (3016) 
25 62 (2738) 
60 44 (2565) 
60 52 (3138) 
29 62 (3045) 
36 7 (2979) 
42 52 (2708) 
25 29 (2848) 
48 25 (2749) 
25 60 (2832) 
25 58 (2859) 
42 36 (2626) 
36 62 (2963) 
56 7 (2919) 
48 5 (2788) 
48 66 (2873) 
56 3 (2704) 
40 7 (3050) 
66 60 (3021) 
40 66 (2997) 
66 62 (2892) 
25 36 (2794) 
64 40 (2630) 
9 29 (2866) 
34 7 (2930) 
5 7 (2859) 
48 34 (2857) 
5 62 (2859) 
34 60 (2995) 
40 44 (2586) 
52 36 (3088) 
64 52 (2630) 
56 34 (2884) 
66 29 (3013) 
9 66 (2715) 
48 29 (2998) 
40 58 (3169) 
48 9 (2691) 
40 29 (3155) 
52 62 (3049) 
40 9 (2852) 
9 5 (2683) 
40 3 (2813) 
5 29 (2964) 
3 60 (2805) 
48 36 (2987) 
56 66 (2846) 
58 62 (3060) 
44 29 (2597) 
66 36 (2924) 
40 62 (3045) 
9 52 (2866) 
40 42 (2697) 
48 7 (2893) 
40 60 (3124) 
42 62 (2598) 
25 5 (2649) 
9 36 (2777) 
36 29 (3084) 
64 58 (2630) 
25 66 (2715) 
34 62 (2913) 
56 58 (3020) 
66 5 (2832) 
34 42 (2602) 
40 25 (2834) 
42 29 (2702) 
52 7 (3065) 
9 60 (2835) 
40 36 (3073) 
60 29 (3136) 
66 52 (3010) 
34 3 (2706) 
58 5 (2970) 
56 62 (2923) 
25 52 (2850) 
60 36 (3052) 
40 56 (2996) 
42 60 (2688) 
58 36 (3098) 
56 36 (2924) 
60 62 (3014) 
52 29 (3170) 
58 60 (3148) 
25 7 (2743) 
48 60 (2986) 
3 62 (2724) 
56 9 (2752) 
56 5 (2803) 
66 58 (3020) 
64 29 (2616) 
25 34 (2712) 
29 7 (3069) 
9 7 (2755) 
34 29 (3036) 
9 34 (2753) 
3 7 (2765) 
56 42 (2570) 
34 58 (3039) 
56 60 (2974) 
52 5 (2960) 
58 44 (2611) 
58 52 (3184) 
48 62 (2877) 
48 42 (2564) 
66 7 (2906) 
58 29 (3180) 
40 48 (2987) 
9 58 (2873) 
9 3 (2571) 
40 5 (2950) 
3 29 (2839) 
60 5 (2924) 
58 3 (2839) 
42 5 (2562) 
66 34 (2886) 
3 52 (2830) 
3 5 (2639) 
40 34 (3017) 
48 52 (3002) 
42 58 (2713) 
56 25 (2697) 
40 52 (3159) 
9 62 (2750) 
58 7 (3075) 
36 5 (2874) 
34 36 (2943) 
56 29 (3006) 
52 44 (2601) 
48 3 (2672) 
34 52 (3031) 
66 3 (2703) 
48 56 (2838) 
66 36 29 (2916) 
40 25 62 (2723) 
25 66 7 (2600) 
66 34 62 (2766) 
40 25 34 (2689) 
34 3 58 (2706) 
25 60 5 (2621) 
56 25 58 (2696) 
48 66 3 (2563) 
48 56 60 (2811) 
40 58 44 (2585) 
56 58 29 (3005) 
9 34 62 (2637) 
66 29 62 (2884) 
40 52 5 (2939) 
34 3 5 (2572) 
3 36 29 (2746) 
34 3 60 (2672) 
66 3 34 (2584) 
9 66 7 (2601) 
56 34 7 (2790) 
48 9 62 (2567) 
40 36 62 (2948) 
48 3 52 (2663) 
56 34 3 (2588) 
56 60 29 (2961) 
58 36 7 (2978) 
25 58 29 (2847) 
40 60 36 (3027) 
40 25 7 (2717) 
3 62 7 (2650) 
48 58 36 (2986) 
40 58 29 (3154) 
56 66 3 (2568) 
52 34 36 (2934) 
25 66 34 (2585) 
66 60 7 (2906) 
9 52 60 (2827) 
40 42 60 (2671) 
66 34 29 (2882) 
