180 (48258) 
7092 (47526) 
4426 (47772) 
188 (46954) 
4434 (47866) 
4436 (47050) 
4438 (48944) 
4432 (47759) 
7062 (48628) 
170 (48572) 
4428 (48193) 
4940 (47640) 
184 (48258) 
4432 4438 (47666) 
4432 7062 (47371) 
184 170 (47917) 
4428 180 (47412) 
4434 4428 (47045) 
188 4438 (46853) 
4434 4438 (47781) 
4426 7062 (47359) 
4436 7062 (46670) 
7092 4438 (47426) 
4432 184 (46975) 
184 4438 (48156) 
4428 4438 (48091) 
4438 7062 (48529) 
170 4428 (47722) 
184 180 (48258) 
184 4426 (46998) 
7092 4428 (46698) 
4940 180 (46893) 
4940 7062 (47228) 
170 7092 (47072) 
170 7062 (48156) 
7092 7062 (47119) 
4940 4428 (46818) 
180 7062 (47843) 
4432 170 (47289) 
4426 4428 (47325) 
170 4940 (47193) 
4434 170 (47398) 
170 180 (47917) 
4434 7062 (47471) 
184 7092 (46798) 
4426 4438 (47670) 
4432 4434 (46888) 
184 7062 (47843) 
4428 7062 (47783) 
184 4940 (46893) 
7092 180 (46798) 
4434 180 (47082) 
4426 4434 (46602) 
4426 180 (46998) 
4432 180 (46975) 
184 4434 (47082) 
4432 4428 (47020) 
170 4438 (48470) 
180 4438 (48156) 
4940 4438 (47539) 
4436 4438 (46975) 
184 4428 (47412) 
4426 170 (47310) 
4426 4428 7062 (46917) 
4426 4428 4438 (47223) 
170 180 4438 (47815) 
184 170 4438 (47815) 
180 4940 4438 (46792) 
4434 4428 4438 (46960) 
4432 184 180 (46975) 
4432 4428 4438 (46927) 
4436 7062 4438 (46596) 
4432 184 4438 (46882) 
184 7092 180 (46798) 
4434 180 7062 (46690) 
184 180 4428 (47412) 
184 7092 4438 (46698) 
7092 4428 4438 (46598) 
184 4426 4438 (46896) 
180 4428 4438 (47310) 
4940 7062 4438 (47129) 
184 4434 7062 (46690) 
170 4940 7062 (46783) 
184 4426 180 (46998) 
170 4434 7062 (47005) 
170 7092 7062 (46667) 
170 7062 4438 (48057) 
180 7062 4438 (47744) 
4428 4940 4438 (46717) 
184 4434 180 (47082) 
7092 7062 4438 (47022) 
184 4428 7062 (47005) 
170 4428 4438 (47620) 
4432 170 4438 (47196) 
180 170 4428 (47073) 
170 4426 7062 (46899) 
4432 7062 4438 (47280) 
170 4940 4438 (47092) 
170 180 7062 (47502) 
184 170 4434 (46745) 
184 170 7062 (47502) 
170 4434 4438 (47313) 
170 7092 4438 (46972) 
4434 7062 4438 (47388) 
184 180 4438 (48156) 
184 170 180 (47917) 
4432 4428 7062 (46636) 
4432 4434 4438 (46804) 
184 7062 4438 (47744) 
4432 184 170 (46636) 
4428 7062 4438 (47684) 
170 4428 7062 (47314) 
7092 180 4438 (46698) 
4434 180 4438 (46997) 
184 180 7062 (47843) 
4432 170 180 (46636) 
4426 180 4438 (46896) 
4432 170 7062 (46903) 
4432 180 4438 (46882) 
180 4428 7062 (47005) 
184 4434 4438 (46997) 
4426 7062 4438 (47260) 
184 180 4940 (46893) 
184 4940 4438 (46792) 
170 180 4434 (46745) 
184 170 4428 (47073) 
4434 4428 7062 (46657) 
184 170 4426 (46663) 
170 180 4426 (46663) 
184 4428 4438 (47310) 
170 4428 4426 (46865) 
170 4426 4438 (47208) 
184 4426 180 4438 (46896) 
170 4428 4426 4438 (46763) 
180 170 4428 7062 (46666) 
184 4434 180 7062 (46690) 
4432 170 7062 4438 (46812) 
4434 180 7062 4438 (46607) 
184 170 4428 7062 (46666) 
180 4428 7062 4438 (46906) 
184 180 7062 4438 (47744) 
184 180 4428 4438 (47310) 
184 170 180 7062 (47502) 
170 180 4434 4438 (46660) 
184 180 170 4428 (47073) 
4426 4428 7062 4438 (46818) 
184 170 4428 4438 (46971) 
184 4434 7062 4438 (46607) 
184 180 4940 4438 (46792) 
184 170 180 4434 (46745) 
184 170 180 4426 (46663) 
180 170 4428 4438 (46971) 
184 7092 180 4438 (46698) 
184 4434 180 4438 (46997) 
184 170 7062 4438 (47403) 
170 4428 7062 4438 (47215) 
170 7062 4426 4438 (46800) 
4432 184 180 4438 (46882) 
170 4940 7062 4438 (46684) 
170 7062 4434 4438 (46922) 
184 180 4428 7062 (47005) 
184 170 180 4438 (47815) 
184 170 4434 4438 (46660) 
184 4428 7062 4438 (46906) 
170 180 7062 4438 (47403) 
4432 184 170 180 (46636) 
184 180 4428 4438 7062 (46906) 
184 4434 180 4438 7062 (46607) 
184 170 180 4438 7062 (47403) 
184 180 170 4428 7062 (46666) 
184 180 170 4428 4438 (46971) 
184 170 180 4434 4438 (46660) 
