Name;Fold 1;Fold 2;Fold 3;Fold 4;Mean;Std;ExtraFold 0.6vs0.4;Time;
DecisionTreeClassifier (depth = 2);0,55;0,97;0,97;0,91;0,85;0,18;0,92;0,04;21,01090417
DecisionTreeClassifier (depth = 5);0,83;0,99;0,98;0,65;0,86;0,14;0,98;0,05;17,30764853
GaussianNB;0,74;0,95;0,64;0,66;0,75;0,12;0,91;0,04;20,05069215
SVC (kernel = 'linear');0,75;0,95;0,94;0,76;0,85;0,10;0,96;6,33;0,134479489
SVC (kernel = 'rbf');0,87;1,00;1,00;0,62;0,87;0,16;1,00;1,94;0,447999372
LogisticRegression;0,64;0,95;0,94;0,78;0,83;0,13;0,95;0,36;2,319514954
;;;;;;;;;
;Fold 1;Fold 2;Fold 3;Fold 4;Mean;Std;ExtraFold 0.6vs0.4;Time;
BaggingClassifier (KNN);0,86;0,99;1,00;0,70;0,89;0,12;1,00;2,23;0,398309214
BaggingClassifier (LogisticRegression);0,75;0,94;0,94;0,72;0,84;0,10;0,91;1,16;0,721138494
BaggingClassifier (DecisionTreeClassifier);0,70;0,96;0,97;0,96;0,90;0,12;0,95;0,25;3,674756425
BaggingClassifier (GaussianNB);0,65;0,92;0,66;0,65;0,72;0,12;0,87;0,22;3,309364436
BaggingClassifier (SVM);0,83;0,98;0,99;0,67;0,87;0,13;0,99;3,61;0,240294833
AdaBoostClassifier;0,87;1,00;1,00;0,69;0,89;0,13;1,00;7,92;0,112608269
ExtraTreesClassifier;0,87;1,00;1,00;0,60;0,87;0,16;1,00;7,20;0,120587178
GradientBoostingClassifier;0,87;1,00;1,00;0,69;0,89;0,13;1,00;4,03;0,221255755
RandomForestClassifier;0,87;1,00;1,00;0,65;0,88;0,14;1,00;0,27;3,204049847
VotingClassifier (soft);0,63;0,96;0,95;0,66;0,80;0,16;0,95;0,61;1,312447662
VotingClassifier (hard);0,65;0,96;0,97;0,65;0,81;0,16;0,96;0,78;1,029641266
